id_tipo_veiculo,id_marca_veiculo,modelo
1,24,Integra
1,24,Legend
1,24,Nsx
1,26,Marrua
1,27,145
1,27,147
1,27,155
1,27,156
1,27,164
1,27,166
1,27,2300
1,27,Spider
1,135,Hummer
1,15,Am-825
1,15,Hi-Topic
1,15,Rocsta
1,15,Topic
1,15,Towner
1,30,100
1,30,80
1,30,A1
1,30,A3
1,30,A4 Sedan
1,30,A5 Coupe
1,30,A6 Sedan
1,30,A7
1,30,A8
1,30,Q3
1,30,Q5
1,30,Q7
1,30,R8
1,30,Rs3
1,30,Rs4
1,30,Rs5
1,30,Rs6
1,30,S3
1,30,S4 Sedan
1,30,S6 Sedan
1,30,S8
1,30,Tt
1,30,Tts
1,136,Buggy
1,134,Deville
1,134,Eldorado
1,134,Seville
1,37,Javali
1,6,Mini Star Family
1,6,Mini Star Utility
1,41,Cielo
1,41,Face
1,41,Qq
1,41,S-18
1,41,Tiggo
1,18,300C
1,18,Caravan
1,18,Cirrus
1,18,Gran Caravan
1,18,Le Baron
1,18,Neon
1,18,Pt Cruiser
1,18,Sebring
1,18,Stratus
1,18,Town E Country
1,18,Vision
1,5,Aircross
1,5,Ax
1,5,Berlingo
1,5,Bx
1,5,C3
1,5,C4
1,5,C5
1,5,C6
1,5,C8
1,5,Ds3
1,5,Evasion
1,5,Jumper
1,5,Xantia
1,5,Xm
1,5,Xsara
1,5,Zx
1,44,Cl-244
1,44,Cl-330
1,45,Espero
1,45,Lanos
1,45,Leganza
1,45,Nubira
1,45,Prince
1,45,Racer
1,45,Super Salon
1,45,Tico
1,46,Applause
1,46,Charade
1,46,Cuore
1,46,Feroza
1,46,Gran Move
1,46,Move Van
1,46,Terios
1,17,Avenger
1,17,Dakota
1,17,Journey
1,17,Ram
1,17,Stealth
1,54,M-100
1,54,Plutus
1,54,Start
1,54,Ulc
1,55,Engesa
1,56,Camper
1,56,Master
1,9,348
1,9,355
1,9,360
1,9,456
1,9,550
1,9,575M
1,9,612
1,9,California
1,9,F430
1,9,F599
1,3,147
1,3,500
1,3,Brava
